PWM	Mouse_Gene_Name	Name_Human	ID	Superclass	Class	Family	Subfamily	References
ATF6B.Me9809.1.YY2017.HT-SE2	Atf6b	ATF6B	ATF6B_004	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	ATF-6.factors	Yin Y et al., Science 2017
ATF6B.Me9809.2.YY2017.HT-SE2	Atf6b	ATF6B	ATF6B_005	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	ATF-6.factors	Yin Y et al., Science 2017
ATF6B.Ca9809.2.YY2017.HT-SE2	Atf6b	ATF6B	ATF6B_002	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	ATF-6.factors	Yin Y et al., Science 2017
BACH1_HUMAN.H11MO.0.A	Bach1	BACH1	BACH1_002	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	Jun-related.factors	NF-E2-like.factors	HOCOMOCO v11
AJ_BACH1	Bach1	BACH1	BACH1_001	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	Jun-related.factors	NF-E2-like.factors	Jolma A et al., Nature, 2015
MA1101.1.BACH2	Bach2	BACH2	BACH2_005	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	Jun-related.factors	NF-E2-like.factors	JASPAR 2018
BACH2_HUMAN.H11MO.0.A	Bach2	BACH2	BACH2_001	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	Jun-related.factors	NF-E2-like.factors	HOCOMOCO v11
BACH2.Ca9804.2.YY2017.HT-SE2	Bach2	BACH2	BACH2_003	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	Jun-related.factors	NF-E2-like.factors	Yin Y et al., Science 2017
BACH2.Me9804.1.YY2017.HT-SE2	Bach2	BACH2	BACH2_004	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	Jun-related.factors	NF-E2-like.factors	Yin Y et al., Science 2017
BACH2.Ca9804.1.YY2017.HT-SE2	Bach2	BACH2	BACH2_002	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	Jun-related.factors	NF-E2-like.factors	Yin Y et al., Science 2017
BATF.Ca9794.1.YY2017.HT-SE2	Batf	BATF	BATF_002	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	B-ATF-related.factors	Unclassified	Yin Y et al., Science 2017
BATF.Me9794.1.YY2017.HT-SE2	Batf	BATF	BATF_003	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	B-ATF-related.factors	Unclassified	Yin Y et al., Science 2017
BATF_HUMAN.H11MO.0.A	Batf	BATF	BATF_001	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	B-ATF-related.factors	Unclassified	HOCOMOCO v11
BATF3_HUMAN.H11MO.0.B	Batf3	BATF3	BATF3_001	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	B-ATF-related.factors	Unclassified	HOCOMOCO v11
BATF3.Ca9793.2.YY2017.HT-SE2	Batf3	BATF3	BATF3_003	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	B-ATF-related.factors	Unclassified	Yin Y et al., Science 2017
BATF3.Ca9793.1.YY2017.HT-SE2	Batf3	BATF3	BATF3_002	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	B-ATF-related.factors	Unclassified	Yin Y et al., Science 2017
BATF3.Me9793.1.YY2017.HT-SE2	Batf3	BATF3	BATF3_004	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	B-ATF-related.factors	Unclassified	Yin Y et al., Science 2017
MA0835.1.BATF3	Batf3	BATF3	BATF3_006	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	B-ATF-related.factors	Unclassified	JASPAR 2016
BATF3.Me9793.2.YY2017.HT-SE2	Batf3	BATF3	BATF3_005	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	B-ATF-related.factors	Unclassified	Yin Y et al., Science 2017
BC11A_HUMAN.H11MO.0.A	Bcl11a	BCL11A	BCL11A_001	Zinc-coordinating.DNA-binding.domains	C2H2.zinc.finger.factors	Factors.with.multiple.dispersed.zinc.fingers	BCL11	HOCOMOCO v11
MA0464.1.Bhlhe40	Bhlhe40	BHLHE40	BHLHE40_005	Basic.domains	Basic.helix-loop-helix.factors.(bHLH)	Hairy-related.factors	Hairy-like.factors	JASPAR 2014
BU0007.Bhlhb2_primary	Bhlhe40	BHLHE40	BHLHE40_004	Basic.domains	Basic.helix-loop-helix.factors.(bHLH)	Hairy-related.factors	Hairy-like.factors	Badis G et al., Science 2009
BHLHE40.Ca9854.1.YY2017.HT-SE2	Bhlhe40	BHLHE40	BHLHE40_002	Basic.domains	Basic.helix-loop-helix.factors.(bHLH)	Hairy-related.factors	Hairy-like.factors	Yin Y et al., Science 2017
MA0464.2.BHLHE40	Bhlhe40	BHLHE40	BHLHE40_006	Basic.domains	Basic.helix-loop-helix.factors.(bHLH)	Hairy-related.factors	Hairy-like.factors	JASPAR 2016
BHE40_HUMAN.H11MO.0.A	Bhlhe40	BHLHE40	BHLHE40_001	Basic.domains	Basic.helix-loop-helix.factors.(bHLH)	Hairy-related.factors	Hairy-like.factors	HOCOMOCO v11
BHLHE40.Me9854.1.YY2017.HT-SE2	Bhlhe40	BHLHE40	BHLHE40_003	Basic.domains	Basic.helix-loop-helix.factors.(bHLH)	Hairy-related.factors	Hairy-like.factors	Yin Y et al., Science 2017
BHLHE41.Me9855.1.YY2017.HT-SE2	Bhlhe41	BHLHE41	BHLHE41_002	Basic.domains	Basic.helix-loop-helix.factors.(bHLH)	Hairy-related.factors	Hairy-like.factors	Yin Y et al., Science 2017
BHLHE41.Ca9855.1.YY2017.HT-SE2	Bhlhe41	BHLHE41	BHLHE41_001	Basic.domains	Basic.helix-loop-helix.factors.(bHLH)	Hairy-related.factors	Hairy-like.factors	Yin Y et al., Science 2017
MA0636.1.BHLHE41	Bhlhe41	BHLHE41	BHLHE41_003	Basic.domains	Basic.helix-loop-helix.factors.(bHLH)	Hairy-related.factors	Hairy-like.factors	JASPAR 2016
CEBPB_HUMAN.H11MO.0.A	Cebpb	CEBPB	CEBPB_001	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	C/EBP-related	C/EBP	HOCOMOCO v11
MA0466.2.CEBPB	Cebpb	CEBPB	CEBPB_005	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	C/EBP-related	C/EBP	JASPAR 2016
CEBPB.Ca9789.1.YY2017.HT-SE2	Cebpb	CEBPB	CEBPB_002	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	C/EBP-related	C/EBP	Yin Y et al., Science 2017
CEBPB.Me9789.1.YY2017.HT-SE2	Cebpb	CEBPB	CEBPB_003	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	C/EBP-related	C/EBP	Yin Y et al., Science 2017
SMiLE_CEBPb	Cebpb	CEBPB	CEBPB_006	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	C/EBP-related	C/EBP	Isakova A et al. Nat Methods. 2017
MA0466.1.CEBPB	Cebpb	CEBPB	CEBPB_004	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	C/EBP-related	C/EBP	JASPAR 2014
CEBPD.Ca9787.1.YY2017.HT-SE2	Cebpd	CEBPD	CEBPD_002	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	C/EBP-related	C/EBP	Yin Y et al., Science 2017
MA0836.1.CEBPD	Cebpd	CEBPD	CEBPD_004	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	C/EBP-related	C/EBP	JASPAR 2016
CEBPD_HUMAN.H11MO.0.C	Cebpd	CEBPD	CEBPD_001	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	C/EBP-related	C/EBP	HOCOMOCO v11
CEBPD.Me9787.1.YY2017.HT-SE2	Cebpd	CEBPD	CEBPD_003	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	C/EBP-related	C/EBP	Yin Y et al., Science 2017
MA0838.1.CEBPG	Cebpg	CEBPG	CEBPG_006	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	C/EBP-related	C/EBP	JASPAR 2016
CEBPG.Me9786.1.YY2017.HT-SE2	Cebpg	CEBPG	CEBPG_004	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	C/EBP-related	C/EBP	Yin Y et al., Science 2017
CEBPG.Ca9786.2.YY2017.HT-SE2	Cebpg	CEBPG	CEBPG_003	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	C/EBP-related	C/EBP	Yin Y et al., Science 2017
CEBPG.Me9786.2.YY2017.HT-SE2	Cebpg	CEBPG	CEBPG_005	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	C/EBP-related	C/EBP	Yin Y et al., Science 2017
CEBPG.Ca9786.1.YY2017.HT-SE2	Cebpg	CEBPG	CEBPG_002	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	C/EBP-related	C/EBP	Yin Y et al., Science 2017
CEBPG_HUMAN.H11MO.0.B	Cebpg	CEBPG	CEBPG_001	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	C/EBP-related	C/EBP	HOCOMOCO v11
TA0392_CEBPG_full_dimer	Cebpg	CEBPG	CEBPG_007	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	C/EBP-related	C/EBP	Jolma A and Taipale J et al., Cell 2013
CLOCK.Me9865.1.YY2017.HT-SE2	Clock	CLOCK	CLOCK_003	Basic.domains	Basic.helix-loop-helix.factors.(bHLH)	PAS.domain.factors	Arnt-like.factors	Yin Y et al., Science 2017
CLOCK_HUMAN.H11MO.0.C	Clock	CLOCK	CLOCK_001	Basic.domains	Basic.helix-loop-helix.factors.(bHLH)	PAS.domain.factors	Arnt-like.factors	HOCOMOCO v11
CLOCK.Ca9865.1.YY2017.HT-SE2	Clock	CLOCK	CLOCK_002	Basic.domains	Basic.helix-loop-helix.factors.(bHLH)	PAS.domain.factors	Arnt-like.factors	Yin Y et al., Science 2017
MA0819.1.CLOCK	Clock	CLOCK	CLOCK_004	Basic.domains	Basic.helix-loop-helix.factors.(bHLH)	PAS.domain.factors	Arnt-like.factors	JASPAR 2016
MA0018.2.CREB1	Creb1	CREB1	CREB1_011	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-like.factors	JASPAR 2014
CREB1.Me9812.1.YY2017.HT-SE2	Creb1	CREB1	CREB1_006	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-like.factors	Yin Y et al., Science 2017
CREB1.Ca9812.4.YY2017.HT-SE2	Creb1	CREB1	CREB1_005	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-like.factors	Yin Y et al., Science 2017
MA0018.1.CREB1	Creb1	CREB1	CREB1_010	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-like.factors	JASPAR 2014
CREB1.Me9812.2.YY2017.HT-SE2	Creb1	CREB1	CREB1_007	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-like.factors	Yin Y et al., Science 2017
CREB1.Me9812.4.YY2017.HT-SE2	Creb1	CREB1	CREB1_009	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-like.factors	Yin Y et al., Science 2017
CREB1.Ca9812.2.YY2017.HT-SE2	Creb1	CREB1	CREB1_003	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-like.factors	Yin Y et al., Science 2017
CREB1.Me9812.3.YY2017.HT-SE2	Creb1	CREB1	CREB1_008	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-like.factors	Yin Y et al., Science 2017
CREB1.Ca9812.3.YY2017.HT-SE2	Creb1	CREB1	CREB1_004	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-like.factors	Yin Y et al., Science 2017
MA0018.3.CREB1	Creb1	CREB1	CREB1_012	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-like.factors	JASPAR 2018
CREB1.Ca9812.1.YY2017.HT-SE2	Creb1	CREB1	CREB1_002	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-like.factors	Yin Y et al., Science 2017
CREB1_HUMAN.H11MO.0.A	Creb1	CREB1	CREB1_001	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-like.factors	HOCOMOCO v11
CREB3.Me9807.2.YY2017.HT-SE2	Creb3	CREB3	CREB3_005	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	Yin Y et al., Science 2017
CREB3.Me9807.1.YY2017.HT-SE2	Creb3	CREB3	CREB3_004	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	Yin Y et al., Science 2017
CREB3.Me9807.3.YY2017.HT-SE2	Creb3	CREB3	CREB3_006	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	Yin Y et al., Science 2017
CREB3.Ca9807.1.YY2017.HT-SE2	Creb3	CREB3	CREB3_001	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	Yin Y et al., Science 2017
CREB3.Ca9807.3.YY2017.HT-SE2	Creb3	CREB3	CREB3_003	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	Yin Y et al., Science 2017
TA0396_CREB3_full_dimer	Creb3	CREB3	CREB3_008	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	Jolma A and Taipale J et al., Cell 2013
MA0638.1.CREB3	Creb3	CREB3	CREB3_007	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	JASPAR 2016
CREB3.Ca9807.2.YY2017.HT-SE2	Creb3	CREB3	CREB3_002	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	Yin Y et al., Science 2017
CREB3L1.Me9808.6.YY2017.HT-SE2	Creb3l1	CREB3L1	CREB3L1_012	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	Yin Y et al., Science 2017
CREB3L1.Ca9808.2.YY2017.HT-SE2	Creb3l1	CREB3L1	CREB3L1_002	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	Yin Y et al., Science 2017
CREB3L1.Me9808.4.YY2017.HT-SE2	Creb3l1	CREB3L1	CREB3L1_010	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	Yin Y et al., Science 2017
CREB3L1.Ca9808.4.YY2017.HT-SE2	Creb3l1	CREB3L1	CREB3L1_004	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	Yin Y et al., Science 2017
MA0839.1.CREB3L1	Creb3l1	CREB3L1	CREB3L1_013	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	JASPAR 2016
CREB3L1.Ca9808.3.YY2017.HT-SE2	Creb3l1	CREB3L1	CREB3L1_003	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	Yin Y et al., Science 2017
CREB3L1.Ca9808.1.YY2017.HT-SE2	Creb3l1	CREB3L1	CREB3L1_001	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	Yin Y et al., Science 2017
CREB3L1.Me9808.5.YY2017.HT-SE2	Creb3l1	CREB3L1	CREB3L1_011	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	Yin Y et al., Science 2017
TA0394_CREB3L1_DBD_dimer	Creb3l1	CREB3L1	CREB3L1_014	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	Jolma A and Taipale J et al., Cell 2013
CREB3L1.Ca9808.5.YY2017.HT-SE2	Creb3l1	CREB3L1	CREB3L1_005	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	Yin Y et al., Science 2017
CREB3L1.Me9808.2.YY2017.HT-SE2	Creb3l1	CREB3L1	CREB3L1_008	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	Yin Y et al., Science 2017
CREB3L1.Me9808.1.YY2017.HT-SE2	Creb3l1	CREB3L1	CREB3L1_007	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	Yin Y et al., Science 2017
TA0848_CREB3L1_full_dimer	Creb3l1	CREB3L1	CREB3L1_016	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	Jolma A and Taipale J et al., Cell 2013
CREB3L1.Me9808.3.YY2017.HT-SE2	Creb3l1	CREB3L1	CREB3L1_009	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	Yin Y et al., Science 2017
TA0395_CREB3L1_full_dimer	Creb3l1	CREB3L1	CREB3L1_015	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	Jolma A and Taipale J et al., Cell 2013
CREB3L1.Ca9808.6.YY2017.HT-SE2	Creb3l1	CREB3L1	CREB3L1_006	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	Yin Y et al., Science 2017
MA0608.1.Creb3l2	Creb3l2	CREB3L2	CREB3L2_001	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	JASPAR 2016
TA0399_Creb3l2_DBD_dimer	Creb3l2	CREB3L2	CREB3L2_002	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	Jolma A and Taipale J et al., Cell 2013
TA0400_Creb3l2_DBD_dimer	Creb3l2	CREB3L2	CREB3L2_003	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-3-like.factors	Jolma A and Taipale J et al., Cell 2013
CREB5.Me9790.2.YY2017.HT-SE2	Creb5	CREB5	CREB5_004	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	Jun-related.factors	ATF-2-like.factors	Yin Y et al., Science 2017
MA0840.1.Creb5	Creb5	CREB5	CREB5_005	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	Jun-related.factors	ATF-2-like.factors	JASPAR 2016
CREB5.Me9790.1.YY2017.HT-SE2	Creb5	CREB5	CREB5_003	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	Jun-related.factors	ATF-2-like.factors	Yin Y et al., Science 2017
CREB5.Ca9790.1.YY2017.HT-SE2	Creb5	CREB5	CREB5_001	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	Jun-related.factors	ATF-2-like.factors	Yin Y et al., Science 2017
CREB5.Ca9790.2.YY2017.HT-SE2	Creb5	CREB5	CREB5_002	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	Jun-related.factors	ATF-2-like.factors	Yin Y et al., Science 2017
MA0609.1.Crem	Crem	CREM	CREM_004	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-like.factors	JASPAR 2016
CREM.Ca9811.1.YY2017.HT-SE2	Crem	CREM	CREM_002	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-like.factors	Yin Y et al., Science 2017
CREM.Me9811.1.YY2017.HT-SE2	Crem	CREM	CREM_003	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-like.factors	Yin Y et al., Science 2017
CREM_HUMAN.H11MO.0.C	Crem	CREM	CREM_001	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-like.factors	HOCOMOCO v11
CTCF_HUMAN.H11MO.0.A	Ctcf	CTCF	CTCF_001	Zinc-coordinating.DNA-binding.domains	C2H2.zinc.finger.factors	More.than.3.adjacent.zinc.finger.factors	CTCF-like.factors	HOCOMOCO v11
TA0032_CTCF_full_monomer	Ctcf	CTCF	CTCF_006	Zinc-coordinating.DNA-binding.domains	C2H2.zinc.finger.factors	More.than.3.adjacent.zinc.finger.factors	CTCF-like.factors	Jolma A and Taipale J et al., Cell 2013
